Subject,Department,OA Material,Student,Date,ID,Source
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Google eBook
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Muzeumi Nemzeti Galeria
European History,History,Image,Graduate Thesis,2017,H_ML_2017,National Gallery of Art
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Scala Archives
European History,History,Image,Graduate Thesis,2017,H_ML_2017,UK National Portrait Gallery
European History,History,Image,Graduate Thesis,2017,H_ML_2017,UK National Portrait Gallery
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Universalmuseum Joanneum
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Unknown
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
Environmental History,History,Image,Dissertation,2017,H_MM_2017,Maine Memory Network
U.S. History,History,Image,Dissertation,2020,H_NF_2020,Denver Public Library
Azeri History,History,Image,Dissertation,2020,H_RH_2020,Wikimedia Commons
Lesbian History,History,Image,Graduate Thesis,2014,H_SG_2014,Oregon Digital
U.S. History,History,Image,Dissertation,2018,H_SL_2018,Museum of the City of New York
U.S. History,History,Image,Dissertation,2018,H_SL_2018,New York Public Library Digital Collections
U.S. History,History,Image,Dissertation,2018,H_SL_2018,University of Texas Libraries
Japanese History,History,Image,Dissertation,2014,H_TG_2014,National Archives of Japan Digital Archive
Japanese History,History,Image,Dissertation,2014,H_TG_2014,National Diet Library Digital Collections
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,David Rumsey Map Collection
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,David Rumsey Map Collection
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,FIFA.com
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,Wikimedia Commons
Hellenistic Art in Japanese Video Games,Art History and Architecture,Interactive Book,Graduate Thesis,2021,AHA_ZC_2021,Archive.org
Culinary History,History,Interactive Book,Graduate Thesis,2019,H_JF_2019-2,HathiTrust
U.S. History,History,Interactive Book,Dissertation,2020,H_NF_2020,Archive.org
U.S. History,History,Interactive Book,Dissertation,2020,H_NF_2020,The New York Public Library Digital Collections
Azeri History,History,Interactive Book,Dissertation,2020,H_RH_2020,Princeton University Digital Library
Environmental History,History,Internet Forum,Dissertation,2017,H_MM_2017,Leatherneck.com
Chinese Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Biennial Foundation
Chinese Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Campaign Brief
Chinese Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Campaign Brief
Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CD_2015,Frieze
Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CH_2015,The New Yorker
Performance Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CP_2015,Frieze
Art Organizations,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_CS_2020,The Sun
Art Organizations,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_CS_2020,Yes! Magazine
Ancient Roman Art,Art History and Architecture,Magazine Article,Graduate Thesis,2018,AHA_LM_2018,The Root
Islamic Art,Art History and Architecture,Magazine Article,Graduate Thesis,2018,AHA_MA_2018,Brown Political Review
DEI in Art,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_SS_2020,New York Magazine
Argentinian Art,Art History and Architecture,Newspaper,Graduate Thesis,2019,AHA_LM_2019,La Voz
U.S. History,History,Newspaper,Dissertation,2020,H_NF_2020,Montana Memory Project
Anquarian Librarianship,Art History and Architecture,None,Graduate Thesis,2017,AHA_AG_2017,
European Art,Art History and Architecture,None,Graduate Thesis,2016,AHA_AN_2016,
Illustration,Art History and Architecture,None,Graduate Thesis,2019,AHA_CH_2019,
Chinese Art,Art History and Architecture,None,Graduate Thesis,2017,AHA_KX_2017,
Culinary History,History,None,Graduate Thesis,2015,H_BB_2015,
Women's History,History,None,Dissertation,2013,H_CA_2013,
Women's History,History,None,Graduate Thesis,2017,H_HW_2017,
Japanese History,History,None,Graduate Thesis,2016,H_IC_2016,
U.S. History,History,None,Dissertation,2019,H_MW_2019,
U.S. History,History,None,Dissertation,2014,H_NJ_2014,
European History,History,None,Graduate Thesis,2014,H_NO_2014,
Women's History,History,None,Graduate Thesis,2014,H_RH_2014,
Chinese History,History,None,Graduate Thesis,2017,H_SH_2017,
Indigenous History,History,None,Graduate Thesis,2016,H_TK_2016,
Chinese Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_AM_2016,Trans Asia Photography Review
French Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_CB_2016,Syria
French Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_CB_2016,The Royal Society Publishing
Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2015,AHA_CD_2015,e-flux
Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2015,AHA_CD_2015,LTTR.org
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,ARCTIC
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,"Journal of Open Innovation: Technology, Market, and Complexity"
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,Proceedings of the National Academy of Science
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,International Journal of Constitutional Law
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,Osgoode Digital Commons
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,Translation Journal
Oregon History,History,Social Media Post,Graduate Thesis,2020,H_AP_2020,Twitter
Japanese History,History,Statistics Data,Graduate Thesis,2015,H_EC_2015,Statistics Japan
Environmental History,History,Statistics Data,Dissertation,2017,H_MM_2017,Tacitus.nu
Earthworks,Art History and Architecture,Transcript,Graduate Thesis,2019,AHA_CC_2019,Smithsonian
European Architecture,Art History and Architecture,Transcript,Graduate Thesis,2015,AHA_MK_2015,Princeofwales.gov.uk
U.S. History,History,Transcript,Graduate Thesis,2013,H_JB_2013,Library of Congress
U.S. History,History,Transcript,Dissertation,2018,H_JB_2018,John F. Kennedy Presidential Library
U.S. History,History,Transcript,Dissertation,2018,H_JB_2018,Library of Congress
Chinese Art,Art History and Architecture,Video,Graduate Thesis,2016,AHA_AM_2016,YouTube
Earthworks,Art History and Architecture,Video,Graduate Thesis,2019,AHA_CC_2019,Charlesrossstudio.com
Earthworks,Art History and Architecture,Video,Graduate Thesis,2019,AHA_CC_2019,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CD_2015,The Pew Center for the Arts & Heritage
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CD_2015,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,YouTube
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,YouTube
Art Organizations,Art History and Architecture,Video,Graduate Thesis,2020,AHA_CS_2020,YouTube
LGBTQ+ Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LA_2019,YouTube
Argentinian Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LM_2019,YouTube
Argentinian Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LM_2019,YouTube
Latin American Art,Art History and Architecture,Video,Graduate Thesis,2020,AHA_LM_2020,University of Oregon
Latin American Art,Art History and Architecture,Video,Graduate Thesis,2020,AHA_LM_2020,YouTube
Film,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LZ_2019,YouTube
Film,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LZ_2019,YouTube
Islamic Art,Art History and Architecture,Video,Graduate Thesis,2018,AHA_MA_2018,LIMA
European Architecture,Art History and Architecture,Video,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Video,Graduate Thesis,2015,AHA_MK_2015,Vice
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,Vimeo
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,YouTube
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,YouTube
U.S. History,History,Video,Graduate Thesis,2014,H_CS_2014,PBS
U.S. History,History,Video,Graduate Thesis,2014,H_CM_2014,C-Span.org
Lesbian History,History,Video,Graduate Thesis,2014,H_SG_2014,YouTube
Performance Art,Art History and Architecture,Video Game,Graduate Thesis,2015,AHA_CP_2015,pippinbarr.com
Performance Art,Art History and Architecture,Video Game,Graduate Thesis,2015,AHA_CP_2015,pippinbarr.com
European Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_AA_2017,Traveling in Tuscany
European Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_AA_2017,Victoria and Albert Museum
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_AM_2016,Wunderman Thompson
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,ArtForum
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,Obama White House Archives
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The Guardian
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The New York Times
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The New York Times
Contemporary Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CH_2015,Artistspace.org
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Kickstarter
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Sean Kelly Gallery
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Sean Kelly Gallery
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Alliance of Artists Communities
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,nodaplarchive.com
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,parafin.co.uk
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Reartist.org
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,rebeccasexton.net
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,The Center for Land Use Interpretation
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,TransArtists
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Asian Art Museum
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Asianinfo.org
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Buddhism Guide
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Lungshan.org.tw
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Lungshan.org.tw
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Lungshan.org.tw
Elizabethan Attire,Art History and Architecture,Webpage,Graduate Thesis,2014,AHA_JN_2014,British History Online
Elizabethan Attire,Art History and Architecture,Webpage,Graduate Thesis,2014,AHA_JN_2014,The Worshipful Company of Cutlers
LGBTQ+ Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LA_2019,Hyperallergic
LGBTQ+ Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LA_2019,The Guardian
Chinese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_LL_2015,Unesco
Chinese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_LL_2015,Unesco
Argentinian Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LM_2019,The Disappeared Project
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,Bomb Magazine
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,Lalla Essaydi
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,The Photo Argus
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,gov.uk
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,HCL Architects
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Historic England
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Twentieth Century Society
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Urbansplash
Street Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_MM_2017,Ron English's Propaganda
Asian Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
Asian Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
European Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SM_2016,Speaking Objects
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,The African Center
Hellenistic Art in Japanese Video Games,Art History and Architecture,Webpage,Graduate Thesis,2021,AHA_ZC_2021,The Louvre
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Costume Museum
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Post WWII History,History,Webpage,Graduate Thesis,2015,H_AD_2015,BBC News
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,Harvard Gazette
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,Oregon Secretary of State
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,The Atlantic
U.S. History,History,Webpage,Graduate Thesis,2014,H_CM_2014,UC Santa Barbara
Women's History,History,Webpage,Graduate Thesis,2020,H_CS_2020,Economic History Association
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,Britannica
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,New World Encyclopedia
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,The Asian-Pacific Journal: Japan Focus
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,World War II Database
French History,History,Webpage,Dissertation,2014,H_EG_2014,Lyon.fr
Russian History,History,Webpage,Graduate Thesis,2018,H_EB_2018,Wikimedia Commons
Japanese History,History,Webpage,Dissertation,2018,H_HM_2018,Central Research Services
Japanese History,History,Webpage,Dissertation,2018,H_HM_2018,Japanese Consumers' Co-Operative Union
Culinary History,History,Webpage,Graduate Thesis,2019,H_JF_2019-2,Encyclopedia of Chicago
Indigenous History,History,Webpage,Dissertation,2019,H_JF_2019,Government of Mexico
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Indiana University Bloomington
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,North Carolina Central University
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,The Atlantic
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,The Chicago Tribune
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Today.com
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,University of North Carolina at Chapel Hill Libraries
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Virginia Heritage
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,Oxford Dictionary of National Biography
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,pnwumc.org
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,Slate
U.S. History,History,Webpage,Graduate Thesis,2019,H_MY_2019,Cannery Life: Del Monte in the Santa Clara Valley
Latin American History,History,Webpage,Graduate Thesis,2016,H_RV_2016,Bracero History Archive
Lesbian History,History,Webpage,Graduate Thesis,2014,H_SG_2014,California College of the Arts
U.S. History,History,Webpage,Dissertation,2018,H_SL_2018,Oregon State University
U.S. History,History,Webpage,Dissertation,2018,H_SL_2018,Oxford English Dictionary
U.S. History,History,Webpage,Dissertation,2018,H_SL_2018,The Guardian
Japanese History,History,Webpage,Dissertation,2014,H_TG_2014,The Korean Herald
