Subject,Discipline,Content Type,Paper Type,Publish Date,Data Set Identifier, Source Location
Azeri History,History,Archival Record,Dissertation,2020,H_RH_2020,Harvard Library
Japanese American History,History,Archival Record,Graduate Thesis,2019,H_OW_2019,Densho Digital Repository
Japanese American History,History,Archival Record,Graduate Thesis,2019,H_OW_2019,University of Washington Libraries
Abdelmalek Sayad,History,Article,Graduate Thesis,2017,H_MJR_2017,Odysseo Digital Archive
American History,History,Audio,Graduate Thesis,2014,H_CM_2014,Truman Library
Japanese American History,History,Audio,Graduate Thesis,2019,H_OW_2019,Online Archive of California
American History,History,Audio,Graduate Thesis,2019,H_IU_2019,umistapotlatch.ca
Azeri History,History,Book,Dissertation,2020,H_RH_2020,Earth Policy Institute
Culinary History,History,Book,Graduate Thesis,2019,H_JF_2019,Project Gutenberg
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
English Colonialism,History,Historic Book,Dissertation,2009,H_MK_2009,Documenting the American South
Filipino History,History,Historic Document,Dissertation,2013,H_JA_2013,Katipunan: Documents and Studies
American Medicine,History,Historic Document,Dissertation,2013,H_CMS_2013,Google eBook
Culinary History,History,Historic Document,Graduate Thesis,2019,H_JF_2019,Michigan State University Digital Repository
Lesbian History,History,Historic Document,Graduate Thesis,2014,H_SG_2014,Archives West
Westward Expansion,History,Historic Document,Graduate Thesis,2014,H_CS_2014,University of Wisconsin-Madison Libraries
20th Century American History,History,Historic Document,Graduate Thesis,2017,H_ZB_2017,Biblioteca del Congreso Argentina
20th Century African American History,History,Historic Document,Graduate Thesis,2012,H_LB_2012,Hanover College
Westward Expansion,History,Historic Document,Graduate Thesis,2014,H_CS_2014,Archive.org
Westward Expansion,History,Historic Document,Graduate Thesis,2014,H_CS_2014,The University of Nebraska
Japanese History,History,Image,Dissertation,2014,H_TG_2014,National Diet Library Digital Collections
18th - 19th Century American History,History,Image,Dissertation,2018,H_SL_2018,New York Public Library Digital Collections
18th - 19th Century American History,History,Image,Dissertation,2018,H_SL_2018,University of Texas Libraries
Japanese History,History,Image,Dissertation,2014,H_TG_2014,National Archives of Japan Digital Archive
Environmental History,History,Image,Dissertation,2017,H_MM_2017,Maine Memory Network
18th - 19th Century American History,History,Image,Dissertation,2018,H_SL_2018,Museum of the City of New York
20th Century American History,History,Image,Dissertation,2020,H_NF_2020,Denver Public Library
Azeri History,History,Image,Dissertation,2020,H_RH_2020,Wikimedia Commons
Indigenous History,History,Image,Dissterations,2019,H_JF_2019,British Museum
Indigenous History,History,Image,Dissterations,2019,H_JF_2019,World Digital Library
Early Medieval Japanese History,History,Image,Graduate Thesis,2013,H_BG_2013,Tokyo National Museum
20th Century American History,History,Image,Graduate Thesis,2017,H_ZB_2017,David Rumsey Map Collection
20th Century American History,History,Image,Graduate Thesis,2017,H_ZB_2017,David Rumsey Map Collection
Culinary History,History,Image,Graduate Thesis,2019,H_JF_2019,Library of Congress
Lesbian History,History,Image,Graduate Thesis,2014,H_SG_2014,Oregon Digital
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Eichfelder
20th Century American History,History,Image,Graduate Thesis,2017,H_ZB_2017,FIFA.com
20th Century American History,History,Image,Graduate Thesis,2017,H_ZB_2017,Wikimedia Commons
American History,History,Image,Graduate Thesis,2019,H_IU_2019,University of Victoria Art Collection
Early Medieval Japanese History,History,Image,Graduate Thesis,2013,H_BG_2013,Oregon Digital
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Google eBook
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Unknown
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,British Library Digital Catalogue
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Muzeumi Nemzeti Galeria
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Scala Archives
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,UK National Portrait Gallery
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,UK National Portrait Gallery
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Universalmuseum Joanneum
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,National Gallery of Art
Early Modern European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
20th Century American History,History,Interactive Book,Dissertation,2020,H_NF_2020,Archive.org
Azeri History,History,Interactive Book,Dissertation,2020,H_RH_2020,Princeton University Digital Library
20th Century American History,History,Interactive Book,Dissertation,2020,H_NF_2020,The New York Public Library Digital Collections
Culinary History,History,Interactive Book,Graduate Thesis,2019,H_JF_2019,HathiTrust
Environmental History,History,Internet Forum,Dissertation,2017,H_MM_2017,Leatherneck.com
20th Century American History,History,Newspaper,Dissertation,2020,H_NF_2020,Montana Memory Project
Oregon History,History,Social Media Post,Graduate Thesis,2020,H_AP_2020,Twitter
Environmental History,History,Statistics Data,Dissertation,2017,H_MM_2017,Tacitus.nu
Japanese History,History,Statistics Data,Graduate Thesis,2015,H_EC_2015,Statistics Japan
20th Century American History,History,Transcript,Dissertation,2018,H_JB_2018,John F. Kennedy Presidential Library
20th Century American History,History,Transcript,Dissertation,2018,H_JB_2018,Library of Congress
20th Century American History,History,Transcript,Graduate Thesis,2013,H_JB_2013,Library of Congress
American History,History,Video,Graduate Thesis,2014,H_CM_2014,C-Span.org
Westward Expansion,History,Video,Graduate Thesis,2014,H_CS_2014,PBS
Lesbian History,History,Video,Graduate Thesis,2014,H_SG_2014,YouTube
19th Century French History,History,Webpage,Dissertation,2014,H_EG_2014,Lyon.fr
Japanese History,History,Webpage,Dissertation,2014,H_TG_2014,The Korean Herald
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,pnwumc.org
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,Slate
18th - 19th Century American History,History,Webpage,Dissertation,2018,H_SL_2018,Oregon State University
18th - 19th Century American History,History,Webpage,Dissertation,2018,H_SL_2018,The Guardian
20th Century Japanese History,History,Webpage,Dissertation,2018,H_HM_2018,Japanese Consumers' Co-Operative Union
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,Oxford Dictionary of National Biography
18th - 19th Century American History,History,Webpage,Dissertation,2018,H_SL_2018,Oxford English Dictionary
20th Century Japanese History,History,Webpage,Dissertation,2018,H_HM_2018,Central Research Services
Indigenous History,History,Webpage,Dissterations,2019,H_JF_2019,Government of Mexico
Mexican History,History,Webpage,Graduate Thesis,2016,H_RV_2016,Bracero History Archive
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Indiana University Bloomington
Lesbian History,History,Webpage,Graduate Thesis,2014,H_SG_2014,California College of the Arts
American History,History,Webpage,Graduate Thesis,2014,H_CM_2014,UC Santa Barbara
Post WWII History,History,Webpage,Graduate Thesis,2015,H_AD_2015,BBC News
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,The Asian-Pacific Journal: Japan Focus
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,World War II Database
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,The Atlantic
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,The Chicago Tribune
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Today.com
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,University of North Carolina at Chapel Hill Libraries
Russian History,History,Webpage,Graduate Thesis,2018,H_EB_2018,Wikimedia Commons
Teamsters History,History,Webpage,Graduate Thesis,2019,H_MY_2019,Cannery Life: Del Monte in the Santa Clara Valley
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,Harvard Gazette
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,Oregon Secretary of State
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,The Atlantic
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,Britannica
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,New World Encyclopedia
Culinary History,History,Webpage,Graduate Thesis,2019,H_JF_2019,Encyclopedia of Chicago
Women's History,History,Webpage,Graduate Thesis,2020,H_CS_2020,Economic History Association
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,North Carolina Central University
20th Century American History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Virginia Heritage
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Architects Journal
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Tower Hamlets
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Pagina 12
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Human Rights Watch
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Pagina 12
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Pagina 12
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,El Pais
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,El Pais
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Sinpermiso
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Parangole,Art History and Architecture,Article,Graduate Thesis,2020,AHA_LM_2020,Globo
Parangole,Art History and Architecture,Article,Graduate Thesis,2020,AHA_LM_2020,Reuters
Chinese Contemporary Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,European Environment Agency
Chinese Contemporary Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,Art Radar Journal
Chinese Contemporary Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,Vice
Chinese Contemporary Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,European Environment Agency
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,Al Jazeera
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,Street Art News
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,The Guardian
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,The Daily Best
Street Art,Art History and Architecture,Audio,Graduate Thesis,2017,AHA_MM_2017,Vox
Contemporary British Architecture,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Contemporary British Architecture,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Argentinian Art,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_LM_2019,Tamtampress
Parangole,Art History and Architecture,Blog Post,Graduate Thesis,2020,AHA_LM_2020,Umass Boston Blog Network
Chinese Contemporary Art,Art History and Architecture,Blog Post,Graduate Thesis,2016,AHA_AM_2016,CYARK
Street Art,Art History and Architecture,Blog Post,Graduate Thesis,2017,AHA_MM_2017,Amoeba.com
Elizabethan Attire,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2014,AHA_JN_2014,Oxford Dictionary of National Biography
Elizabethan Attire,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2014,AHA_JN_2014,Oxford Dictionary of National Biography
Ancient Roman Art,Art History and Architecture,Essay,Graduate Thesis,2018,AHA_LM_2018,The Metropolitan Museum of Art
Elizabethan Attire,Art History and Architecture,Historic Document,Graduate Thesis,2014,AHA_JN_2014,Bess of Hardwick's Letters
Islamic Art,Art History and Architecture,Magazine Article,Graduate Thesis,2018,AHA_MA_2018,Brown Political Review
Islamic Art,Art History and Architecture,Blog Post,Graduate Thesis,2018,AHA_MA_2018,The Perception of Female Beauty in Art
Roden Crater,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_CC_2019,Artnet News
Roden Crater,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_CC_2019,Lithub
Roden Crater,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_CC_2019,Art News
Contemporary Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CD_2015,Theory Now
18th Century French Satirical Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_CB_2016,Syria
18th Century French Satirical Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_CB_2016,The Royal Society Publishing
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,International Journal of Constitutional Law
Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2015,AHA_CD_2015,LTTR.org
Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2015,AHA_CD_2015,e-flux
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,Osgoode Digital Commons
Victorian Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_AA_2017,Traveling in Tuscany
Victorian Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_AA_2017,Victoria and Albert Museum
LGBTQ+ Taiwanese Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LA_2019,Hyperallergic
LGBTQ+ Taiwanese Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LA_2019,The Guardian
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,Bomb Magazine
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,The Photo Argus
Hellenistic Art in Japanese Video Games,Art History and Architecture,Webpage,Graduate Thesis,2021,AHA_ZC_2021,The Louvre
Roden Crater,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The Guardian
Roden Crater,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The New York Times
Roden Crater,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,ArtForum
Roden Crater,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The New York Times
Roden Crater,Art History and Architecture,Article,Graduate Thesis,2019,AHA_CC_2019,Los Angeles Times
Chinese Modernism,Art History and Architecture,Census Data,Graduate Thesis,2019,AHA_YC_2019,gov.cn
18th Century French Satirical Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_CB_2016,Britannica
Islamic Art,Art History and Architecture,Video,Graduate Thesis,2018,AHA_MA_2018,LIMA
Roden Crater,Art History and Architecture,Video,Graduate Thesis,2019,AHA_CC_2019,Charlesrossstudio.com
Contemporary Art,Art History and Architecture,Audio,Graduate Thesis,2015,AHA_CD_2015,Clocktower
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CD_2015,YouTube
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,Translation Journal
Hellenistic Art in Japanese Video Games,Art History and Architecture,Interactive Book,Graduate Thesis,2021,AHA_ZC_2021,Archive.org
Contemporary Art,Art History and Architecture,Magazine,Graduate Thesis,2015,AHA_CD_2015,Frieze
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Wikimedia Commons
Roden Crater,Art History and Architecture,Video,Graduate Thesis,2019,AHA_CC_2019,YouTube
Roden Crater,Art History and Architecture,Transcript,Graduate Thesis,2019,AHA_CC_2019,Smithsonian
Islamic Art,Art History and Architecture,Image,Graduate Thesis,2018,AHA_MA_2018,Museum of Fine Arts Boston
Chinese Modernism,Art History and Architecture,Image,Graduate Thesis,2019,AHA_YC_2019,The Palace Museum
